scene_name,video_num,frame_num,SSIM
flame_salmon_1,0,0,0.9031
flame_salmon_1,0,1,0.9052
flame_salmon_1,0,2,0.9048
flame_salmon_1,0,3,0.9057
flame_salmon_1,0,4,0.9037
flame_salmon_1,0,5,0.9058
flame_salmon_1,0,6,0.905
flame_salmon_1,0,7,0.9062
flame_salmon_1,0,8,0.9046
flame_salmon_1,0,9,0.9079
flame_salmon_1,0,10,0.9067
flame_salmon_1,0,11,0.9069
flame_salmon_1,0,12,0.9049
flame_salmon_1,0,13,0.9066
flame_salmon_1,0,14,0.9062
flame_salmon_1,0,15,0.907
flame_salmon_1,0,16,0.9054
flame_salmon_1,0,17,0.9071
flame_salmon_1,0,18,0.9067
flame_salmon_1,0,19,0.9078
flame_salmon_1,0,20,0.9062
flame_salmon_1,0,21,0.9084
flame_salmon_1,0,22,0.9077
flame_salmon_1,0,23,0.9081
flame_salmon_1,0,24,0.9079
flame_salmon_1,0,25,0.909
flame_salmon_1,0,26,0.908
flame_salmon_1,0,27,0.9082
flame_salmon_1,0,28,0.9061
flame_salmon_1,0,29,0.9074
flame_salmon_1,0,30,0.9066
flame_salmon_1,0,31,0.9073
flame_salmon_1,0,32,0.9058
flame_salmon_1,0,33,0.9076
flame_salmon_1,0,34,0.9072
flame_salmon_1,0,35,0.9083
flame_salmon_1,0,36,0.9066
flame_salmon_1,0,37,0.9083
flame_salmon_1,0,38,0.9074
flame_salmon_1,0,39,0.9092
flame_salmon_1,0,40,0.9071
flame_salmon_1,0,41,0.9084
flame_salmon_1,0,42,0.9075
flame_salmon_1,0,43,0.9082
flame_salmon_1,0,44,0.9062
flame_salmon_1,0,45,0.908
flame_salmon_1,0,46,0.9072
flame_salmon_1,0,47,0.9078
flame_salmon_1,0,48,0.9057
flame_salmon_1,0,49,0.9074
flame_salmon_1,0,50,0.9071
flame_salmon_1,0,51,0.9076
flame_salmon_1,0,52,0.9058
flame_salmon_1,0,53,0.9077
flame_salmon_1,0,54,0.9081
flame_salmon_1,0,55,0.9083
flame_salmon_1,0,56,0.9068
flame_salmon_1,0,57,0.908
flame_salmon_1,0,58,0.9075
flame_salmon_1,0,59,0.908
flame_salmon_1,0,60,0.9062
flame_salmon_1,0,61,0.908
flame_salmon_1,0,62,0.9073
flame_salmon_1,0,63,0.9079
flame_salmon_1,0,64,0.9062
flame_salmon_1,0,65,0.9077
flame_salmon_1,0,66,0.9071
flame_salmon_1,0,67,0.9077
flame_salmon_1,0,68,0.9063
flame_salmon_1,0,69,0.9092
flame_salmon_1,0,70,0.9078
flame_salmon_1,0,71,0.9084
flame_salmon_1,0,72,0.9065
flame_salmon_1,0,73,0.9079
flame_salmon_1,0,74,0.9071
flame_salmon_1,0,75,0.9075
flame_salmon_1,0,76,0.906
flame_salmon_1,0,77,0.9076
flame_salmon_1,0,78,0.9068
flame_salmon_1,0,79,0.9073
flame_salmon_1,0,80,0.9059
flame_salmon_1,0,81,0.9072
flame_salmon_1,0,82,0.9063
flame_salmon_1,0,83,0.9069
flame_salmon_1,0,84,0.9059
flame_salmon_1,0,85,0.9079
flame_salmon_1,0,86,0.9071
flame_salmon_1,0,87,0.9077
flame_salmon_1,0,88,0.9061
flame_salmon_1,0,89,0.9075
flame_salmon_1,0,90,0.9068
flame_salmon_1,0,91,0.9072
flame_salmon_1,0,92,0.9058
flame_salmon_1,0,93,0.9074
flame_salmon_1,0,94,0.907
flame_salmon_1,0,95,0.9076
flame_salmon_1,0,96,0.9058
flame_salmon_1,0,97,0.9075
flame_salmon_1,0,98,0.9068
flame_salmon_1,0,99,0.9089
flame_salmon_1,0,100,0.9071
flame_salmon_1,0,101,0.908
flame_salmon_1,0,102,0.9071
flame_salmon_1,0,103,0.9074
flame_salmon_1,0,104,0.906
flame_salmon_1,0,105,0.9074
flame_salmon_1,0,106,0.9071
flame_salmon_1,0,107,0.9073
flame_salmon_1,0,108,0.9059
flame_salmon_1,0,109,0.9073
flame_salmon_1,0,110,0.9067
flame_salmon_1,0,111,0.9077
flame_salmon_1,0,112,0.9056
flame_salmon_1,0,113,0.9075
flame_salmon_1,0,114,0.9082
flame_salmon_1,0,115,0.908
flame_salmon_1,0,116,0.9058
flame_salmon_1,0,117,0.9072
flame_salmon_1,0,118,0.906
flame_salmon_1,0,119,0.9064
flame_salmon_1,0,120,0.9045
flame_salmon_1,0,121,0.9058
flame_salmon_1,0,122,0.905
flame_salmon_1,0,123,0.9055
flame_salmon_1,0,124,0.9041
flame_salmon_1,0,125,0.9056
flame_salmon_1,0,126,0.9053
flame_salmon_1,0,127,0.906
flame_salmon_1,0,128,0.9048
flame_salmon_1,0,129,0.9074
flame_salmon_1,0,130,0.9067
flame_salmon_1,0,131,0.9074
flame_salmon_1,0,132,0.9059
flame_salmon_1,0,133,0.9077
flame_salmon_1,0,134,0.907
flame_salmon_1,0,135,0.9075
flame_salmon_1,0,136,0.9059
flame_salmon_1,0,137,0.9069
flame_salmon_1,0,138,0.9064
flame_salmon_1,0,139,0.9066
flame_salmon_1,0,140,0.905
flame_salmon_1,0,141,0.9069
flame_salmon_1,0,142,0.9063
flame_salmon_1,0,143,0.9069
flame_salmon_1,0,144,0.9069
flame_salmon_1,0,145,0.9076
flame_salmon_1,0,146,0.9067
flame_salmon_1,0,147,0.9064
flame_salmon_1,0,148,0.9047
flame_salmon_1,0,149,0.9058
flame_salmon_1,0,150,0.9052
flame_salmon_1,0,151,0.9053
flame_salmon_1,0,152,0.904
flame_salmon_1,0,153,0.9057
flame_salmon_1,0,154,0.905
flame_salmon_1,0,155,0.9059
flame_salmon_1,0,156,0.9044
flame_salmon_1,0,157,0.9059
flame_salmon_1,0,158,0.9061
flame_salmon_1,0,159,0.9078
flame_salmon_1,0,160,0.9058
flame_salmon_1,0,161,0.907
flame_salmon_1,0,162,0.9066
flame_salmon_1,0,163,0.9063
flame_salmon_1,0,164,0.9052
flame_salmon_1,0,165,0.9061
flame_salmon_1,0,166,0.906
flame_salmon_1,0,167,0.906
flame_salmon_1,0,168,0.9043
flame_salmon_1,0,169,0.9058
flame_salmon_1,0,170,0.9054
flame_salmon_1,0,171,0.9062
flame_salmon_1,0,172,0.9049
flame_salmon_1,0,173,0.9063
flame_salmon_1,0,174,0.907
flame_salmon_1,0,175,0.9071
flame_salmon_1,0,176,0.9063
flame_salmon_1,0,177,0.9076
flame_salmon_1,0,178,0.9072
flame_salmon_1,0,179,0.908
flame_salmon_1,0,180,0.9062
flame_salmon_1,0,181,0.9074
flame_salmon_1,0,182,0.9072
flame_salmon_1,0,183,0.9073
flame_salmon_1,0,184,0.9061
flame_salmon_1,0,185,0.9075
flame_salmon_1,0,186,0.9065
flame_salmon_1,0,187,0.9068
flame_salmon_1,0,188,0.9051
flame_salmon_1,0,189,0.9078
flame_salmon_1,0,190,0.907
flame_salmon_1,0,191,0.9072
flame_salmon_1,0,192,0.9057
flame_salmon_1,0,193,0.9071
flame_salmon_1,0,194,0.9065
flame_salmon_1,0,195,0.9068
flame_salmon_1,0,196,0.9052
flame_salmon_1,0,197,0.9067
flame_salmon_1,0,198,0.9065
flame_salmon_1,0,199,0.9065
flame_salmon_1,0,200,0.9053
flame_salmon_1,0,201,0.9068
flame_salmon_1,0,202,0.9066
flame_salmon_1,0,203,0.9069
flame_salmon_1,0,204,0.9068
flame_salmon_1,0,205,0.9081
flame_salmon_1,0,206,0.9074
flame_salmon_1,0,207,0.9077
flame_salmon_1,0,208,0.9059
flame_salmon_1,0,209,0.9073
flame_salmon_1,0,210,0.9062
flame_salmon_1,0,211,0.9068
flame_salmon_1,0,212,0.9054
flame_salmon_1,0,213,0.9067
flame_salmon_1,0,214,0.9064
flame_salmon_1,0,215,0.9065
flame_salmon_1,0,216,0.9055
flame_salmon_1,0,217,0.9067
flame_salmon_1,0,218,0.9064
flame_salmon_1,0,219,0.9081
flame_salmon_1,0,220,0.9066
flame_salmon_1,0,221,0.9078
flame_salmon_1,0,222,0.9073
flame_salmon_1,0,223,0.9076
flame_salmon_1,0,224,0.9059
flame_salmon_1,0,225,0.9077
flame_salmon_1,0,226,0.9068
flame_salmon_1,0,227,0.9075
flame_salmon_1,0,228,0.9061
flame_salmon_1,0,229,0.9071
flame_salmon_1,0,230,0.9063
flame_salmon_1,0,231,0.9067
flame_salmon_1,0,232,0.905
flame_salmon_1,0,233,0.9064
flame_salmon_1,0,234,0.9064
flame_salmon_1,0,235,0.9065
flame_salmon_1,0,236,0.9045
flame_salmon_1,0,237,0.9056
flame_salmon_1,0,238,0.9052
flame_salmon_1,0,239,0.9053
flame_salmon_1,0,240,0.9039
flame_salmon_1,0,241,0.9052
flame_salmon_1,0,242,0.9054
flame_salmon_1,0,243,0.906
flame_salmon_1,0,244,0.9045
flame_salmon_1,0,245,0.9058
flame_salmon_1,0,246,0.9059
flame_salmon_1,0,247,0.9066
flame_salmon_1,0,248,0.9055
flame_salmon_1,0,249,0.9076
flame_salmon_1,0,250,0.905
flame_salmon_1,0,251,0.9069
flame_salmon_1,0,252,0.9065
flame_salmon_1,0,253,0.9069
flame_salmon_1,0,254,0.9052
flame_salmon_1,0,255,0.9069
flame_salmon_1,0,256,0.9062
flame_salmon_1,0,257,0.9065
flame_salmon_1,0,258,0.9047
flame_salmon_1,0,259,0.9056
flame_salmon_1,0,260,0.9052
flame_salmon_1,0,261,0.9055
flame_salmon_1,0,262,0.9042
flame_salmon_1,0,263,0.9056
flame_salmon_1,0,264,0.9067
flame_salmon_1,0,265,0.9073
flame_salmon_1,0,266,0.9056
flame_salmon_1,0,267,0.907
flame_salmon_1,0,268,0.9066
flame_salmon_1,0,269,0.9069
flame_salmon_1,0,270,0.9055
flame_salmon_1,0,271,0.9072
flame_salmon_1,0,272,0.9068
flame_salmon_1,0,273,0.9075
flame_salmon_1,0,274,0.9062
flame_salmon_1,0,275,0.9077
flame_salmon_1,0,276,0.9072
flame_salmon_1,0,277,0.9074
flame_salmon_1,0,278,0.9058
flame_salmon_1,0,279,0.9082
flame_salmon_1,0,280,0.9073
flame_salmon_1,0,281,0.9075
flame_salmon_1,0,282,0.906
flame_salmon_1,0,283,0.9076
flame_salmon_1,0,284,0.9072
flame_salmon_1,0,285,0.9077
flame_salmon_1,0,286,0.9065
flame_salmon_1,0,287,0.9081
flame_salmon_1,0,288,0.9076
flame_salmon_1,0,289,0.908
flame_salmon_1,0,290,0.9064
flame_salmon_1,0,291,0.9082
flame_salmon_1,0,292,0.9077
flame_salmon_1,0,293,0.9083
flame_salmon_1,0,294,0.9076
flame_salmon_1,0,295,0.9086
flame_salmon_1,0,296,0.9082
flame_salmon_1,0,297,0.908
flame_salmon_1,0,298,0.9058
flame_salmon_1,0,299,0.9061
